age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y,cd_account,securities,TransactionFrequency,Recency,AverageTransactionAmount,month,day
55,services,divorced,secondary,no,91,0,0,unknown,349,1,-1,0,unknown,no,0,0,2,49,9743,may,5
49,services,divorced,secondary,no,0,1,1,unknown,272,1,-1,0,unknown,no,0,0,1,62,30,may,5
55,services,divorced,secondary,yes,1,1,0,unknown,208,1,-1,0,unknown,no,0,0,1,80,133,may,5
45,admin.,single,secondary,no,206,1,0,unknown,193,1,-1,0,unknown,no,0,0,1,52,140,may,5
47,services,divorced,secondary,no,164,0,0,unknown,212,1,-1,0,unknown,no,0,0,2,39,1471.895,may,5
42,technician,single,secondary,no,690,1,0,unknown,20,1,-1,0,unknown,no,0,0,3,33,301.24,may,5
59,admin.,married,secondary,no,2343,1,0,unknown,1042,1,-1,0,unknown,yes,0,0,1,40,500,may,5
46,self-employed,married,tertiary,no,137,1,1,unknown,246,1,-1,0,unknown,no,1,0,1,67,1700,may,5
51,blue-collar,married,primary,no,173,1,0,unknown,529,2,-1,0,unknown,no,0,0,1,44,185,may,5
56,admin.,married,secondary,no,45,0,0,unknown,1467,1,-1,0,unknown,yes,0,0,2,77,179.5,may,5
41,technician,married,secondary,no,1270,1,0,unknown,1389,1,-1,0,unknown,yes,0,0,1,41,210,may,5
46,management,divorced,secondary,no,16,1,1,unknown,188,2,-1,0,unknown,no,0,0,1,44,299,may,5
57,retired,married,secondary,no,486,1,0,unknown,180,2,-1,0,unknown,no,1,0,4,26,1793.25,may,5
42,management,single,secondary,no,50,0,0,unknown,48,1,-1,0,unknown,no,0,1,1,76,85,may,5
30,technician,married,secondary,no,152,1,1,unknown,213,2,-1,0,unknown,no,0,0,1,38,50,may,5
60,admin.,married,secondary,no,290,1,0,unknown,583,1,-1,0,unknown,no,0,0,1,33,10794,may,5
57,entrepreneur,divorced,secondary,no,-37,0,0,unknown,173,1,-1,0,unknown,no,0,0,1,71,133,may,5
36,management,married,tertiary,no,101,1,1,unknown,426,1,-1,0,unknown,no,0,0,1,67,750,may,5
55,blue-collar,married,secondary,no,383,0,0,unknown,287,1,-1,0,unknown,no,0,0,2,65,1154,may,5
60,retired,married,tertiary,no,81,1,0,unknown,101,1,-1,0,unknown,no,0,0,2,43,1049,may,5
39,technician,married,secondary,no,0,1,0,unknown,203,1,-1,0,unknown,no,0,0,1,67,2730,may,5
46,management,married,tertiary,no,229,1,0,unknown,197,1,-1,0,unknown,no,0,0,1,46,455,may,5
44,blue-collar,married,secondary,no,-674,1,0,unknown,257,1,-1,0,unknown,no,0,0,1,52,50,may,5
53,blue-collar,married,primary,no,90,0,0,unknown,124,1,-1,0,unknown,no,0,1,1,63,466,may,5
52,blue-collar,married,primary,no,128,1,0,unknown,229,1,-1,0,unknown,no,0,0,1,62,359,may,5
59,blue-collar,married,primary,no,179,1,0,unknown,55,3,-1,0,unknown,no,0,0,1,29,2205.86,may,5
27,technician,single,tertiary,no,0,1,0,unknown,400,1,-1,0,unknown,no,0,0,1,73,48,may,5
44,blue-collar,married,secondary,no,54,1,0,unknown,197,1,-1,0,unknown,no,0,0,2,45,280,may,5
47,technician,married,tertiary,no,151,1,0,unknown,190,1,-1,0,unknown,no,0,1,1,51,11,may,5
34,admin.,married,secondary,no,61,0,1,unknown,21,1,-1,0,unknown,no,0,0,1,77,80,may,5
59,retired,single,secondary,no,30,1,0,unknown,514,1,-1,0,unknown,no,0,0,2,42,141.055,may,5
45,management,married,tertiary,no,523,1,0,unknown,849,2,-1,0,unknown,no,0,0,2,57,412.5,may,5
29,services,divorced,secondary,no,31,1,0,unknown,194,1,-1,0,unknown,no,0,0,1,29,50,may,5
46,technician,divorced,secondary,no,79,0,0,unknown,144,1,-1,0,unknown,no,0,0,1,49,120,may,5
56,self-employed,married,primary,no,-34,1,1,unknown,212,2,-1,0,unknown,no,0,0,1,54,1876,may,5
36,blue-collar,married,primary,no,448,1,0,unknown,286,1,-1,0,unknown,no,0,0,1,61,1000,may,5
59,retired,divorced,primary,no,81,1,0,unknown,107,1,-1,0,unknown,no,0,0,1,61,225,may,5
44,blue-collar,married,secondary,no,144,1,0,unknown,247,2,-1,0,unknown,no,0,0,2,56,3181.5,may,5
41,admin.,married,secondary,no,351,1,0,unknown,518,1,-1,0,unknown,no,0,0,1,46,210,may,5
33,management,single,tertiary,no,-67,1,0,unknown,364,1,-1,0,unknown,no,0,0,1,36,30,may,5
59,management,divorced,tertiary,no,262,0,0,unknown,178,1,-1,0,unknown,no,0,0,1,36,189,may,5
57,technician,married,primary,no,0,0,0,unknown,98,1,-1,0,unknown,no,0,0,1,59,49,may,5
51,blue-collar,married,secondary,no,26,1,0,unknown,79,1,-1,0,unknown,no,0,1,1,33,201,may,5
43,services,married,secondary,no,41,1,1,unknown,127,2,-1,0,unknown,no,0,0,1,66,47,may,5
52,technician,married,tertiary,no,7,0,1,unknown,175,1,-1,0,unknown,no,0,0,1,81,156,may,5
33,technician,single,secondary,no,105,1,0,unknown,262,2,-1,0,unknown,no,0,0,2,36,1760,may,5
29,admin.,single,secondary,no,818,1,1,unknown,61,1,-1,0,unknown,no,0,0,1,41,1799,may,5
34,services,married,secondary,no,-16,1,1,unknown,78,1,-1,0,unknown,no,0,0,1,45,8,may,5
31,blue-collar,married,secondary,no,0,1,0,unknown,143,1,-1,0,unknown,no,0,0,1,43,32,may,5
55,services,married,secondary,no,2476,1,0,unknown,579,1,-1,0,unknown,yes,0,0,2,36,517.5,may,5
32,admin.,single,secondary,no,217,1,0,unknown,345,1,-1,0,unknown,no,0,0,1,53,260,may,5
38,technician,single,secondary,no,1685,1,0,unknown,185,1,-1,0,unknown,no,0,0,2,36,119.5,may,5
55,admin.,single,secondary,no,802,1,1,unknown,100,2,-1,0,unknown,no,0,0,2,51,1144,may,5
28,unemployed,single,tertiary,no,0,1,0,unknown,125,2,-1,0,unknown,no,0,0,1,40,100,may,5
23,blue-collar,married,secondary,no,94,1,0,unknown,193,1,-1,0,unknown,no,0,0,1,63,100,may,5
32,technician,single,secondary,no,0,1,0,unknown,136,1,-1,0,unknown,no,0,0,1,24,100,may,5
32,blue-collar,married,secondary,no,517,1,0,unknown,528,1,-1,0,unknown,no,0,0,1,47,4,may,5
46,blue-collar,married,secondary,no,265,1,0,unknown,541,1,-1,0,unknown,no,0,0,1,33,289.92,may,5
53,housemaid,divorced,primary,no,947,1,0,unknown,163,1,-1,0,unknown,no,1,0,1,63,500,may,5
34,self-employed,single,secondary,no,3,1,0,unknown,301,1,-1,0,unknown,no,0,0,1,44,100,may,5
57,unemployed,married,tertiary,no,42,0,0,unknown,46,1,-1,0,unknown,no,0,0,1,57,6423,may,5
37,blue-collar,married,secondary,no,37,1,0,unknown,204,1,-1,0,unknown,no,0,0,1,41,20,may,5
59,blue-collar,married,secondary,no,57,1,0,unknown,98,1,-1,0,unknown,no,0,0,3,48,1263.246667,may,5
33,services,married,secondary,no,22,1,0,unknown,71,1,-1,0,unknown,no,0,0,1,48,150,may,5
56,blue-collar,divorced,primary,no,8,1,0,unknown,157,2,-1,0,unknown,no,0,0,2,42,1705,may,5
48,unemployed,married,secondary,no,293,1,0,unknown,243,1,-1,0,unknown,no,0,0,2,55,90.5,may,5
43,services,married,primary,no,3,1,0,unknown,186,2,-1,0,unknown,no,0,0,2,49,1623.5,may,5
54,blue-collar,married,primary,no,348,1,0,unknown,579,2,-1,0,unknown,no,0,0,2,40,340.485,may,5
26,student,single,secondary,no,0,1,0,unknown,610,2,-1,0,unknown,no,0,0,1,58,233,may,5
40,management,married,tertiary,no,-4,1,0,unknown,2033,1,-1,0,unknown,no,0,0,1,24,140,may,5
39,management,married,secondary,no,18,1,0,unknown,85,1,-1,0,unknown,no,0,0,1,59,82,may,5
50,technician,married,primary,no,139,0,0,unknown,114,2,-1,0,unknown,no,0,0,1,80,450,may,5
41,services,married,secondary,no,0,1,0,unknown,114,2,-1,0,unknown,no,0,0,2,53,190,may,5
60,retired,divorced,secondary,no,216,1,0,unknown,238,1,-1,0,unknown,no,0,0,2,41,1195,may,5
52,blue-collar,married,secondary,no,782,1,0,unknown,93,3,-1,0,unknown,no,0,0,1,41,900,may,5
48,blue-collar,married,secondary,no,904,1,0,unknown,128,2,-1,0,unknown,no,0,0,1,48,606.9,may,5
39,technician,single,tertiary,no,47,1,0,unknown,181,1,-1,0,unknown,no,0,0,1,63,347,may,5
47,services,single,secondary,no,176,1,0,unknown,303,2,-1,0,unknown,no,0,0,1,55,100,may,5
40,blue-collar,married,secondary,no,1225,1,0,unknown,558,5,-1,0,unknown,no,0,0,1,64,3047.5,may,5
45,technician,married,secondary,no,86,1,0,unknown,270,1,-1,0,unknown,no,0,1,1,79,100,may,5
26,admin.,single,secondary,no,82,1,0,unknown,228,1,-1,0,unknown,no,0,0,1,70,572,may,5
52,management,married,tertiary,no,271,1,0,unknown,99,1,-1,0,unknown,no,0,0,1,38,571,may,5
54,technician,married,secondary,no,1378,1,0,unknown,240,1,-1,0,unknown,no,1,0,1,46,110,may,5
54,admin.,married,tertiary,no,184,0,0,unknown,673,2,-1,0,unknown,yes,0,0,1,57,650,may,5
50,blue-collar,married,primary,no,0,0,0,unknown,233,3,-1,0,unknown,no,0,1,1,46,1000,may,5
35,blue-collar,married,secondary,no,0,1,0,unknown,1056,1,-1,0,unknown,no,0,0,1,40,24,may,5
44,services,married,secondary,no,1357,1,1,unknown,250,1,-1,0,unknown,no,0,0,1,69,377,may,5
35,retired,single,primary,no,434,0,0,unknown,138,1,-1,0,unknown,no,0,0,1,45,200,may,5
60,admin.,divorced,secondary,no,92,1,0,unknown,130,1,-1,0,unknown,no,0,0,2,71,234.5,may,5
53,admin.,divorced,secondary,no,1151,1,0,unknown,412,1,-1,0,unknown,no,1,0,2,41,630.5,may,5
48,unemployed,married,secondary,no,41,1,0,unknown,179,2,-1,0,unknown,no,0,0,1,79,240,may,5
34,technician,married,secondary,no,51,1,0,unknown,19,2,-1,0,unknown,no,0,0,1,39,100,may,5
54,services,married,secondary,no,214,1,0,unknown,458,2,-1,0,unknown,no,0,0,1,66,901,may,5
51,management,married,secondary,no,1161,1,0,unknown,717,1,-1,0,unknown,no,1,0,2,24,2645,may,5
31,services,married,tertiary,no,37,1,0,unknown,313,1,-1,0,unknown,no,0,0,2,54,104,may,5
35,technician,divorced,secondary,no,787,1,0,unknown,683,2,-1,0,unknown,no,0,0,1,45,1124,may,5
35,services,married,secondary,no,59,1,0,unknown,1077,1,-1,0,unknown,no,0,0,2,63,1023.5,may,5
38,technician,married,secondary,no,253,1,0,unknown,416,1,-1,0,unknown,no,0,0,1,78,225,may,5
36,admin.,married,tertiary,no,211,1,0,unknown,146,2,-1,0,unknown,no,0,0,1,25,65,may,5
58,retired,married,primary,no,235,1,0,unknown,167,1,-1,0,unknown,no,1,0,1,71,109,may,5
54,management,married,secondary,no,4080,0,0,unknown,140,1,-1,0,unknown,no,0,0,2,47,225,may,5
34,blue-collar,single,secondary,no,53,1,1,unknown,346,1,-1,0,unknown,no,0,0,1,48,10,may,5
31,management,single,tertiary,no,0,1,0,unknown,562,1,-1,0,unknown,no,0,0,2,43,1122.81,may,5
51,retired,married,secondary,no,2127,1,0,unknown,172,1,-1,0,unknown,no,0,0,1,69,248,may,5
33,management,married,tertiary,no,377,1,0,unknown,217,1,-1,0,unknown,no,0,0,1,36,50,may,5
55,management,married,tertiary,no,73,1,0,unknown,142,2,-1,0,unknown,no,0,0,3,40,1345.333333,may,5
42,admin.,married,secondary,no,445,1,0,unknown,67,1,-1,0,unknown,no,1,0,3,63,439,may,5
34,blue-collar,married,secondary,no,243,1,0,unknown,291,1,-1,0,unknown,no,0,0,1,57,30,may,5
33,blue-collar,single,secondary,no,307,1,0,unknown,309,2,-1,0,unknown,no,0,0,1,49,1400,may,5
38,services,married,secondary,no,155,1,0,unknown,248,1,-1,0,unknown,no,0,0,1,56,50,may,5
50,technician,divorced,tertiary,no,173,0,1,unknown,98,1,-1,0,unknown,no,1,0,3,61,239.6666667,may,5
43,management,married,tertiary,no,400,1,0,unknown,256,1,-1,0,unknown,no,0,0,2,62,373.5,may,5
61,blue-collar,divorced,primary,no,1428,1,0,unknown,82,2,-1,0,unknown,no,0,0,1,48,18000,may,5
47,admin.,married,secondary,no,219,1,0,unknown,577,1,-1,0,unknown,no,0,0,1,43,662.69,may,5
48,self-employed,married,tertiary,no,7,1,0,unknown,286,1,-1,0,unknown,no,0,0,2,61,265.5,may,5
44,blue-collar,married,secondary,no,575,1,0,unknown,477,1,-1,0,unknown,no,1,0,1,68,200,may,5
35,services,married,secondary,no,0,1,0,unknown,471,1,-1,0,unknown,no,0,0,1,53,300,may,5
50,services,married,secondary,no,5699,1,0,unknown,381,2,-1,0,unknown,no,0,0,1,29,300,may,5
41,management,married,tertiary,no,176,1,1,unknown,42,1,-1,0,unknown,no,0,0,2,44,558,may,5
41,management,married,tertiary,no,517,1,0,unknown,251,1,-1,0,unknown,no,0,0,1,47,725,may,5
42,retired,married,secondary,no,56,1,0,unknown,215,1,-1,0,unknown,no,0,0,1,56,30,may,5
38,blue-collar,married,secondary,no,-390,1,0,unknown,287,1,-1,0,unknown,no,0,0,1,36,60,may,5
53,retired,married,secondary,no,330,1,0,unknown,216,2,-1,0,unknown,no,0,0,2,59,375,may,5
59,housemaid,divorced,primary,no,195,0,0,unknown,366,2,-1,0,unknown,no,0,0,1,57,250,may,5
36,services,married,secondary,no,301,1,0,unknown,210,1,-1,0,unknown,no,0,0,1,79,10,may,5
54,blue-collar,married,primary,no,-41,1,0,unknown,288,1,-1,0,unknown,no,0,0,1,48,100,may,5
40,technician,married,tertiary,no,483,1,0,unknown,168,1,-1,0,unknown,no,0,0,1,55,497,may,5
46,housemaid,married,primary,no,965,0,0,unknown,177,1,-1,0,unknown,no,0,0,1,39,100,may,5
39,management,married,tertiary,no,378,1,1,unknown,127,2,-1,0,unknown,no,0,0,2,50,405,may,5
40,unemployed,married,secondary,no,219,1,0,unknown,357,1,-1,0,unknown,no,0,0,1,63,200,may,5
28,blue-collar,married,primary,no,324,1,0,unknown,175,1,-1,0,unknown,no,0,0,1,58,400,may,5
35,entrepreneur,divorced,secondary,no,-69,1,0,unknown,300,1,-1,0,unknown,no,0,0,1,26,584,may,5
55,retired,married,secondary,no,0,0,1,unknown,136,1,-1,0,unknown,no,0,0,2,61,25,may,5
48,blue-collar,married,primary,no,278,1,0,unknown,125,2,-1,0,unknown,no,1,0,2,44,59.5,may,5
33,management,single,tertiary,no,34,1,0,unknown,27,1,-1,0,unknown,no,0,0,1,80,200,may,5
53,services,divorced,secondary,no,1467,1,0,unknown,124,1,-1,0,unknown,no,0,0,1,70,300,may,5
47,blue-collar,married,primary,no,-12,1,0,unknown,18,1,-1,0,unknown,no,0,0,2,65,239.5,may,5
31,services,married,secondary,no,388,1,0,unknown,730,2,-1,0,unknown,no,0,0,1,37,655,may,5
57,entrepreneur,married,secondary,no,294,1,0,unknown,746,2,-1,0,unknown,no,0,0,1,46,100,may,5
55,blue-collar,married,primary,no,627,1,0,unknown,247,1,-1,0,unknown,no,1,0,3,41,550,may,5
45,blue-collar,married,primary,no,25,1,0,unknown,40,1,-1,0,unknown,no,0,0,2,46,510,may,5
53,admin.,divorced,secondary,no,315,1,0,unknown,181,2,-1,0,unknown,no,0,0,1,52,743,may,5
37,blue-collar,married,primary,no,0,1,0,unknown,79,1,-1,0,unknown,no,0,0,3,49,11821.33333,may,5
44,admin.,divorced,secondary,no,66,1,0,unknown,206,1,-1,0,unknown,no,0,0,1,66,1003,may,5
49,blue-collar,divorced,primary,no,-9,1,1,unknown,389,1,-1,0,unknown,no,0,0,1,78,120,may,5
46,technician,married,secondary,no,349,1,1,unknown,127,1,-1,0,unknown,no,0,0,2,36,260,may,5
38,admin.,married,secondary,no,0,0,0,unknown,151,1,-1,0,unknown,no,0,0,3,65,849,may,5
43,technician,married,secondary,no,434,1,0,unknown,117,1,-1,0,unknown,no,1,0,2,50,1667,may,5
49,management,married,tertiary,no,3237,1,0,unknown,232,3,-1,0,unknown,no,0,0,1,75,150,may,5
22,blue-collar,single,secondary,no,0,1,0,unknown,179,2,-1,0,unknown,no,0,0,1,72,10,may,5
40,management,married,tertiary,no,207,1,0,unknown,39,1,-1,0,unknown,no,0,0,1,65,750,may,5
39,blue-collar,married,secondary,no,483,1,0,unknown,282,1,-1,0,unknown,no,0,0,1,72,100,may,5
51,services,married,secondary,no,2248,1,0,unknown,714,2,-1,0,unknown,no,0,0,1,26,185,may,5
49,admin.,married,secondary,no,428,1,0,unknown,50,1,-1,0,unknown,no,1,0,2,43,650,may,5
53,blue-collar,married,secondary,no,0,1,1,unknown,181,1,-1,0,unknown,no,0,0,1,65,399,may,5
34,services,single,secondary,no,0,1,0,unknown,142,1,-1,0,unknown,no,0,0,3,52,1062.433333,may,5
33,technician,divorced,secondary,no,140,1,0,unknown,227,1,-1,0,unknown,no,0,0,2,44,1361.175,may,5
50,management,single,tertiary,no,297,1,0,unknown,119,1,-1,0,unknown,no,0,0,1,50,14,may,5
39,blue-collar,married,primary,no,279,1,0,unknown,361,1,-1,0,unknown,no,0,0,1,60,81,may,5
59,entrepreneur,divorced,secondary,no,901,1,0,unknown,73,3,-1,0,unknown,no,0,0,2,44,15660,may,5
30,technician,single,secondary,no,2573,1,0,unknown,67,2,-1,0,unknown,no,0,0,3,60,976.6666667,may,5
36,services,married,secondary,no,143,1,1,unknown,350,1,-1,0,unknown,no,1,0,1,49,85,may,5
40,blue-collar,married,secondary,no,475,1,0,unknown,332,2,-1,0,unknown,no,1,0,1,45,157.26,may,5
53,blue-collar,married,secondary,no,70,1,0,unknown,611,2,-1,0,unknown,no,0,0,1,80,1008.63,may,5
34,management,single,tertiary,no,318,1,0,unknown,113,2,-1,0,unknown,no,0,0,1,49,50,may,5
37,technician,married,secondary,no,275,1,0,unknown,132,1,-1,0,unknown,no,0,0,1,41,35,may,5
42,management,divorced,tertiary,no,742,1,0,unknown,58,3,-1,0,unknown,no,0,0,1,76,200,may,5
41,entrepreneur,married,primary,no,236,1,0,unknown,151,1,-1,0,unknown,no,1,0,1,77,500,may,5
30,student,single,tertiary,no,25,1,0,unknown,89,2,-1,0,unknown,no,0,0,1,37,195,may,5
37,management,single,tertiary,no,600,1,0,unknown,152,1,-1,0,unknown,no,0,0,1,81,101,may,5
39,admin.,divorced,secondary,no,-349,1,0,unknown,611,2,-1,0,unknown,no,0,0,1,51,49,may,5
41,blue-collar,married,primary,no,183,1,1,unknown,110,2,-1,0,unknown,no,1,0,2,36,202,may,5
40,blue-collar,married,primary,no,0,1,0,unknown,463,1,-1,0,unknown,no,0,0,1,78,284,may,5
42,management,single,tertiary,no,0,1,1,unknown,562,2,-1,0,unknown,yes,0,0,2,48,1012.5,may,5
40,blue-collar,divorced,primary,no,0,1,0,unknown,962,1,-1,0,unknown,no,0,0,1,65,50,may,5
57,technician,married,secondary,no,1078,1,0,unknown,10,4,-1,0,unknown,no,0,0,1,74,1675,may,5
56,entrepreneur,divorced,secondary,no,155,0,0,unknown,118,3,-1,0,unknown,no,0,0,2,33,346,may,5
37,admin.,married,secondary,no,190,1,0,unknown,92,2,-1,0,unknown,no,0,0,1,66,1169,may,5
59,retired,married,secondary,no,319,1,0,unknown,143,3,-1,0,unknown,no,0,0,1,39,1412,may,5
39,services,divorced,secondary,no,-185,1,0,unknown,189,3,-1,0,unknown,no,0,0,1,69,390,may,5
49,services,married,secondary,no,47,0,0,unknown,234,2,-1,0,unknown,no,0,1,2,37,283.5,may,5
38,services,single,secondary,no,570,1,0,unknown,75,2,-1,0,unknown,no,0,0,1,47,164,may,5
36,self-employed,married,tertiary,no,19,0,0,unknown,189,2,-1,0,unknown,no,0,0,3,41,162,may,5
50,blue-collar,married,primary,no,61,1,0,unknown,621,3,-1,0,unknown,no,0,0,1,76,49,may,5
41,admin.,married,secondary,no,-62,1,1,unknown,55,2,-1,0,unknown,no,1,0,2,55,1487.5,may,5
54,technician,married,tertiary,no,258,0,0,unknown,310,4,-1,0,unknown,no,0,0,1,68,1820,may,5
58,blue-collar,married,primary,no,76,1,0,unknown,156,2,-1,0,unknown,no,0,0,1,72,740,may,5
